('C2',) / [10201, -98.44, -540.0, -425.0, -592.0, -419.0, -382.0]
('C6', 'H5', 'D4', 'S3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'D4', 'S3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'C3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'C3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'C3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'C3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'D3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'D3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'D3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'D3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'H3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'H3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'H3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'H3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'S3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'S3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'S3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'H4', 'S3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'C3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'C3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'C3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'C3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'D3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'D3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'D3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'D3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'H5', 'S4', 'H3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
